nom_parfum,marque,nose,launch_year,rating_value,rating_count,main_accords,gender,longevity,sillage,price_feeling,top_notes,middle_notes,base_notes
Acqua di Parma Blu Mediterraneo Mandorlo di Sicilia,Acqua di Parma,,1999,4.11,"4,390","['vanilla', 'almond', 'sweet', 'powdery', 'fruity', 'soft spicy', 'nutty', 'anis', 'floral', 'citrus']",unisex,moderate,average,ok,"['Star Anise', 'Green Almond', 'Orange', 'Bergamot']","['White Peach', 'Ylang-Ylang', 'Jasmine']","['Tolu Balsam', 'Cedar', 'White Musk', 'Bourbon Vanilla']"
Acqua di Parma Blu Mediterraneo Arancia di Capri,Acqua di Parma,,1999,4.15,"3,253",['citrus'],unisex,moderate,intimate,ok,"['Bergamot', 'Orange', 'Lemon', 'Sicilian Mandarin']","['Cardamom', 'Petitgrain']","['Musk', 'Caramel']"
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria,Acqua di Parma,,2010,4.12,"2,339","['citrus', 'woody', 'aromatic', 'fresh spicy', 'warm spicy']",unisex,weak,intimate,ok,"['Citron', 'Bergamot']","['Cedar', 'Ginger', 'Flowers']","['Musk', 'Vetyver', 'Benzoin']"
Acqua di parma Blue Mediterraneo Mirto di Panarea,Acqua di Parma,François Demachy,2008,4.10,"2,827","['aromatic', 'fresh spicy', 'citrus', 'herbal', 'woody', 'marine']",unisex,moderate,average,ok,"['Basil', 'Lemon', 'Bergamot', 'Myrtle']","['Rose', 'Sea Notes', 'Jasmine']","['Amber', 'Cedar', 'Juniper', 'Mastic or Lentisque']"
Bergamotto di Calabria La Spugnatura,Acqua di Parma,,2021,4.11,229,"['citrus', 'fresh spicy', 'aromatic']",unisex,moderate,average,ok,['Bergamot'],"['Grapefruit', 'Orange', 'Mandarin Orange']","['Geranium', 'Fennel']"
Blue Mediterraneo Mirto di Panarea Limited Edition 2024,Acqua di Parma,,2024,3.58,24,"['citrus', 'aromatic', 'fresh spicy', 'white floral', 'amber', 'woody', 'herbal', 'fresh', 'floral']",unisex,moderate,average,ok,"['Basil', 'Italian Lemon', 'Bergamot', 'Myrtle']","['Damask Rose', 'Jasmine']","['Amber', 'Juniper', 'Cedarwood']"
Cedro di Taormina,Acqua di Parma,,2016,4.17,709,"['woody', 'fresh spicy', 'aromatic', 'citrus', 'green', 'lavender', 'fresh', 'herbal']",male,moderate,average,ok,"['Basil', 'Petitgrain', 'Citruses']","['Lavender', 'Black Pepper']","['Virginian Cedar', 'Vetiver', 'Labdanum']"
,,,,,,[],,,,,[],[],[]
,,,,,,[],,,,,[],[],[]
,,,,,,[],,,,,[],[],[]
